species	diet_state
Acinonyx_jubatus	Non_plant
Acomys_cahirinus	Non_plant
Acomys_dimidiatus	Non_plant
Acomys_kempi	Non_plant
Acomys_minous	Non_plant
Acomys_percivali	Non_plant
Acomys_russatus	Non_plant
Ailuropoda_melanoleuca	Plant_dominant
Amblysomus_hottentotus	Non_plant
Anoura_caudifer	Non_plant
Antrozous_pallidus	Non_plant
Apodemus_agrarius	Plant_dominant
Apodemus_speciosus	Plant_dominant
Apodemus_sylvaticus	Plant_dominant
Arctocephalus_gazella	Non_plant
Artibeus_jamaicensis	Plant_dominant
Artibeus_lituratus	Plant_dominant
Arvicanthis_niloticus	Non_plant
Arvicola_amphibius	Plant_dominant
Aselliscus_stoliczkanus	Non_plant
Ateles_fusciceps	Plant_dominant
Ateles_geoffroyi	Plant_dominant
Ateles_hybridus	Plant_dominant
Axis_porcinus	Plant_dominant
Balaenoptera_edeni	Non_plant
Balaenoptera_musculus	Non_plant
Balaenoptera_physalus	Non_plant
Bison_bonasus	Plant_dominant
Bos_javanicus	Plant_dominant
Bos_taurus	Plant_dominant
Brachyteles_arachnoides	Plant_dominant
Bradypus_torquatus	Plant_dominant
Budorcas_taxicolor	Plant_dominant
Callithrix_jacchus	Non_plant
Camelus_dromedarius	Plant_dominant
Canis_aureus	Non_plant
Canis_latrans	Non_plant
Canis_lupus	Non_plant
Capra_hircus	Plant_dominant
Capra_ibex	Plant_dominant
Capra_nubiana	Plant_dominant
Capreolus_capreolus	Plant_dominant
Capricornis_sumatraensis	Plant_dominant
Castor_canadensis	Plant_dominant
Castor_fiber	Plant_dominant
Cebus_albifrons	Non_plant
Cervus_elaphus	Plant_dominant
Cervus_nippon	Plant_dominant
Chionomys_nivalis	Non_plant
Chlorocebus_sabaeus	Plant_dominant
Choloepus_didactylus	Plant_dominant
Colobus_guereza	Plant_dominant
Corynorhinus_townsendii	Non_plant
Cricetus_cricetus	Plant_dominant
Crocidura_zimmermanni	Non_plant
Ctenodactylus_gundi	Plant_dominant
Cynocephalus_volans	Plant_dominant
Cynomys_gunnisoni	Plant_dominant
Cynomys_ludovicianus	Plant_dominant
Cynopterus_sphinx	Plant_dominant
Dama_dama	Plant_dominant
Dasypus_novemcinctus	Non_plant
Daubentonia_madagascariensis	Non_plant
Delphinapterus_leucas	Non_plant
Delphinus_delphis	Non_plant
Desmodus_rotundus	Non_plant
Dipodomys_merriami	Non_plant
Dipodomys_spectabilis	Non_plant
Dipus_sagitta	Plant_dominant
Dugong_dugon	Plant_dominant
Eira_barbara	Non_plant
Eliomys_quercinus	Non_plant
Eospalax_fontanierii	Non_plant
Eptesicus_fuscus	Non_plant
Equus_caballus	Plant_dominant
Equus_kiang	Plant_dominant
Erythrocebus_patas	Plant_dominant
Eschrichtius_robustus	Non_plant
Eubalaena_glacialis	Non_plant
Eumetopias_jubatus	Non_plant
Felis_catus	Non_plant
Felis_chaus	Non_plant
Geomys_bursarius	Plant_dominant
Gorilla_gorilla	Plant_dominant
Grampus_griseus	Non_plant
Heterohyrax_brucei	Plant_dominant
Hipposideros_larvatus	Non_plant
Hyaena_hyaena	Non_plant
Hydrurga_leptonyx	Non_plant
Hylobates_pileatus	Plant_dominant
Ia_io	Non_plant
Inia_geoffrensis	Non_plant
Jaculus_jaculus	Non_plant
Kogia_breviceps	Non_plant
Kogia_sima	Non_plant
Lasiopodomys_brandtii	Plant_dominant
Lasiopodomys_mandarinus	Plant_dominant
Lemmus_lemmus	Plant_dominant
Lemur_catta	Plant_dominant
Leontopithecus_rosalia	Non_plant
Lepus_capensis	Plant_dominant
Lepus_castroviejoi	Plant_dominant
Lepus_europaeus	Plant_dominant
Lepus_oiostolus	Plant_dominant
Lepus_timidus	Plant_dominant
Lepus_tolai	Plant_dominant
Lepus_yarkandensis	Plant_dominant
Lontra_canadensis	Non_plant
Loris_tardigradus	Non_plant
Loxodonta_africana	Plant_dominant
Lutra_lutra	Non_plant
Lycaon_pictus	Non_plant
Lynx_canadensis	Non_plant
Lynx_rufus	Non_plant
Macaca_assamensis	Plant_dominant
Macaca_cyclopis	Plant_dominant
Macaca_fascicularis	Non_plant
Macaca_mulatta	Plant_dominant
Macaca_nemestrina	Plant_dominant
Macaca_nigra	Plant_dominant
Macaca_silenus	Plant_dominant
Macroderma_gigas	Non_plant
Macrotus_californicus	Non_plant
Manis_javanica	Non_plant
Manis_pentadactyla	Non_plant
Marmota_flaviventris	Plant_dominant
Marmota_himalayana	Plant_dominant
Marmota_monax	Plant_dominant
Martes_flavigula	Non_plant
Martes_foina	Non_plant
Martes_martes	Non_plant
Mastacomys_fuscus	Non_plant
Megaderma_spasma	Non_plant
Megaptera_novaeangliae	Non_plant
Meles_meles	Non_plant
Mephitis_mephitis	Non_plant
Meriones_unguiculatus	Plant_dominant
Mesocricetus_auratus	Non_plant
Mesoplodon_densirostris	Non_plant
Microcebus_murinus	Plant_dominant
Micromys_minutus	Non_plant
Micronycteris_microtis	Non_plant
Microtus_agrestis	Plant_dominant
Microtus_californicus	Plant_dominant
Microtus_oregoni	Plant_dominant
Microtus_pennsylvanicus	Plant_dominant
Miniopterus_schreibersii	Non_plant
Mirounga_leonina	Non_plant
Molossus_molossus	Non_plant
Monachus_monachus	Non_plant
Monodon_monoceros	Non_plant
Mops_condylurus	Non_plant
Moschus_berezovskii	Plant_dominant
Muntiacus_crinifrons	Plant_dominant
Muntiacus_gongshanensis	Plant_dominant
Mus_minutoides	Plant_dominant
Mus_musculus	Plant_dominant
Mus_spretus	Plant_dominant
Mustela_erminea	Non_plant
Mustela_lutreola	Non_plant
Mustela_nivalis	Non_plant
Myospalax_psilurus	Non_plant
Myotis_daubentonii	Non_plant
Myotis_emarginatus	Non_plant
Myotis_mystacinus	Non_plant
Myotis_nattereri	Non_plant
Myotis_nesopolus	Non_plant
Myotis_yumanensis	Non_plant
Myrmecophaga_tridactyla	Non_plant
Neofelis_nebulosa	Non_plant
